cn,ID
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Porphyromonadaceae..g__Porphyromonas..s__,V94
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Porphyromonadaceae..g__Porphyromonas..s__endodontalis,V95
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Porphyromonadaceae..g__Tannerella..s__,V96
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella,V97
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__,V98
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__copri,V99
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__intermedia,V100
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__melaninogenica,V101
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__nanceiensis,V102
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Prevotellaceae..g__Prevotella..s__nigrescens,V103
k__Bacteria..p__Bacteroidetes..c__Cytophagia..o__Cytophagales..f__Cytophagaceae..g__Hymenobacter..s__,V104
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__.Weeksellaceae...g__..s__,V105
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__.Weeksellaceae...g__Chryseobacterium..s__,V106
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__.Weeksellaceae...g__Cloacibacterium..s__,V107
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__.Weeksellaceae...g__Wautersiella..s__,V108
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__Flavobacteriaceae..g__Capnocytophaga..s__,V109
k__Bacteria..p__Bacteroidetes..c__Flavobacteriia..o__Flavobacteriales..f__Flavobacteriaceae..g__Capnocytophaga..s__ochracea,V110
k__Bacteria..p__Bacteroidetes..c__Sphingobacteriia..o__Sphingobacteriales..f__Sphingobacteriaceae..g__Sphingobacterium..s__faecium,V111
k__Bacteria..p__Bacteroidetes..c__Sphingobacteriia..o__Sphingobacteriales..f__Sphingobacteriaceae..g__Sphingobacterium..s__multivorum,V112
k__Bacteria..p__Chloroflexi..c__Ellin6529..o__..f__..g__..s__,V113
k__Bacteria..p__Firmicutes..c__Bacilli,V114
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales,V115
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__.Exiguobacteraceae...g__..s__,V116
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__.Exiguobacteraceae...g__Exiguobacterium..s__,V117
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae,V118
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__..s__,V119
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Anoxybacillus..s__kestanbolensis,V120
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Bacillus,V121
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Bacillus..s__,V122
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Bacillus..s__flexus,V123
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Bacillus..s__ginsengihumi,V124
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae..g__Geobacillus..s__,V125
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Listeriaceae..g__Brochothrix,V126
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Planococcaceae..g__..s__,V127
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Planococcaceae..g__Lysinibacillus..s__boronitolerans,V128
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Planococcaceae..g__Planomicrobium..s__,V129
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae,V130
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Jeotgalicoccus..s__,V131
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Jeotgalicoccus..s__psychrophilus,V132
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Macrococcus,V133
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Salinicoccus..s__,V134
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Staphylococcus,V135
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Staphylococcus..s__,V136
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Staphylococcus..s__aureus,V137
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Staphylococcus..s__epidermidis,V138
k__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Staphylococcaceae..g__Staphylococcus..s__sciuri,V139
k__Bacteria..p__Firmicutes..c__Bacilli..o__Gemellales..f__..g__..s__,V140
k__Bacteria..p__Firmicutes..c__Bacilli..o__Gemellales..f__Gemellaceae,V141
k__Bacteria..p__Firmicutes..c__Bacilli..o__Gemellales..f__Gemellaceae..g__..s__,V142
k__Bacteria..p__Firmicutes..c__Bacilli..o__Gemellales..f__Gemellaceae..g__Gemella..s__,V143
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales,V144
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__..g__..s__,V145
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae,V146
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__..s__,V147
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Abiotrophia..s__,V148
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Aerococcus..s__,V149
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Alloiococcus..s__,V150
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Alloiococcus..s__otitis,V151
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Facklamia..s__,V152
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Aerococcaceae..g__Marinilactibacillus..s__psychrotolerans,V153
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Carnobacteriaceae..g__Carnobacterium,V154
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Carnobacteriaceae..g__Carnobacterium..s__,V155
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Carnobacteriaceae..g__Desemzia..s__,V156
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Carnobacteriaceae..g__Granulicatella..s__,V157
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Enterococcaceae..g__Enterococcus..s__,V158
